,Season,Match_ID,Home_Team,Away_Team,Venue,City,Country,Current_Innings,Innings_ID,Player,Runs,Balls_Faced,Fours,Sixes,Strike_Rate
0,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,RG Sharma,12,10,2,0,120
1,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,Q de Kock,33,20,5,0,165
2,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,SA Yadav,17,16,2,0,106.25
3,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,SS Tiwary,42,31,3,1,135.48
4,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,HH Pandya,14,10,0,2,140
5,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,KA Pollard,18,14,1,1,128.57
6,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,KH Pandya,3,3,0,0,100
7,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,JL Pattinson,11,8,2,0,137.5
8,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,RD Chahar,2,4,0,0,50
9,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,TA Boult,0,1,0,0,0
10,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,JJ Bumrah,5,3,0,0,166.66
11,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,M Vijay,1,7,0,0,14.28
12,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,SR Watson,4,5,1,0,80
13,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,F du Plessis,58,44,6,0,131.81
14,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,AT Rayudu,71,48,6,3,147.91
15,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,RA Jadeja,10,5,2,0,200
16,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,SM Curran,18,6,1,2,300
17,2020,1216492,MI,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,CSK,2,MS Dhoni,0,2,0,0,0
18,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,PP Shaw,5,9,1,0,55.55
19,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,S Dhawan,0,2,0,0,0
20,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,SO Hetmyer,7,13,1,0,53.84
21,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,SS Iyer,39,32,0,3,121.87
22,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,RR Pant,31,29,4,0,106.89
23,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,MP Stoinis,53,21,7,3,252.38
24,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,AR Patel,6,9,0,0,66.66
25,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,R Ashwin,4,6,0,0,66.66
26,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,K Rabada,0,0,0,0,-
27,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,A Nortje,3,1,0,0,300
28,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,KL Rahul,21,19,2,1,110.52
29,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,MA Agarwal,89,60,7,4,148.33
30,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,KK Nair,1,3,0,0,33.33
31,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,N Pooran,0,3,0,0,0
32,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,GJ Maxwell,1,4,0,0,25
33,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,SN Khan,12,12,2,0,100
34,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,K Gowtham,20,14,1,1,142.85
35,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,CJ Jordan,5,6,0,0,83.33
36,2020,1216493,DC,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,KXIP,2,Mohammed Shami,0,0,0,0,-
