,Name,Batting_Hand,Bowling_Skill,Country
0,A Ashish Reddy,Right_Hand,Right-arm medium,India
1,A Chandila,Right_Hand,Right-arm offbreak,India
2,A Chopra,Right_Hand,Right-arm offbreak,India
3,A Choudhary,Right_hand,Left-arm fast-medium,
4,A Dananjaya,Right_Hand,Right-arm offbreak,
5,A Flintoff,Right_Hand,Right-arm fast-medium,England
6,A Hales,Right_hand,,
7,A Joseph,Right_Hand,Right-arm fast,
8,A Kumble,Right_Hand,Legbreak googly,India
9,A Mishra,Right_Hand,Legbreak,India
10,A Mithun,Right_Hand,Right-arm medium,India
11,A Mukund,Right_Hand,Legbreak googly,India
12,A Nehra,Right_Hand,Left-arm medium-fast,India
13,A Nel,Right_Hand,Right-arm fast-medium,South Africa
14,A Roy,Left_Hand,Slow left-arm orthodox,
15,A Singh,Right_Hand,Right-arm medium-fast,India
16,A Symonds,Right_Hand,Right-arm offbreak,Australia
17,A Turner,Right_Hand,,
18,A Uniyal,Right_Hand,Left-arm medium,India
19,A Zampa,Right_Hand,Legbreak googly,Australia
20,AA Bilakhia,Right_Hand,Right-arm medium,India
21,AA Chavan,Right_Hand,Slow left-arm orthodox,India
22,AA Jhunjhunwala,Right_Hand,Right-arm offbreak,India
23,AA Kazi,Right_Hand,Slow left-arm orthodox,India
24,AA Noffke,Right_Hand,Right-arm fast-medium,Australia
25,AB Agarkar,Right_Hand,Right-arm fast,India
26,AB Barath,Left_Hand,Right-arm offbreak,India
27,AB de Villiers,Right_Hand,Right-arm medium,South Africa
28,AB Dinda,Right_Hand,Right-arm medium-fast,India
29,AB McDonald,Right_Hand,Right-arm fast-medium,Australia
30,Abdur Razzak,Left_Hand,Slow left-arm orthodox,Bangladesh
31,AC Blizzard,Left_Hand,Left-arm medium,Australia
32,AC Gilchrist,Left_Hand,Right-arm offbreak,Australia
33,AC Thomas,Right_Hand,Right-arm fast-medium,England
34,AC Voges,Right_Hand,Slow left-arm orthodox,Australia
35,AD Mascarenhas,Right_Hand,Right-arm fast-medium,England
36,AD Mathews,Right_Hand,Right-arm fast-medium,Sri Lanka
37,AD Nath,Right_Hand,Right-arm medium-fast,India
38,AD Russell,Right_Hand,Right-arm fast,West Indies
39,AF Milne,Right_Hand,Right-arm fast,New Zealand
40,AG Murtaza,Left_Hand,Slow left-arm orthodox,India
41,AG Paunikar,Right_Hand,,India
42,AJ Finch,Right_Hand,Slow left-arm orthodox,Australia
43,AJ Tye,Right_hand,Right-arm fast-medium,
44,AL Menaria,Left_Hand,Slow left-arm orthodox,India
45,AM Nayar,Left_Hand,Right-arm medium,India
46,AM Rahane,Right_Hand,Right-arm medium,India
47,AM Salvi,Right_Hand,Right-arm medium,India
48,AN Ahmed,Right_Hand,Right-arm medium-fast,India
49,AN Ghosh,Right_Hand,Right-arm medium,India
50,Anand Rajan,Right_Hand,Right-arm medium,India
51,Anirudh Singh,Left_Hand,Right-arm medium,India
52,Ankit Sharma,Left_Hand,Slow left-arm orthodox,India
53,Ankit Soni,Right_hand,Legbreak,
54,Anureet Singh,Right_Hand,Right-arm medium,India
55,AP Dole,Right_Hand,Right-arm medium-fast,India
56,AP Majumdar,Right_Hand,Legbreak googly,India
57,AP Tare,Right_Hand,,India
58,AR Bawne,Right_Hand,,
59,AR Patel,Left_Hand,Slow left-arm orthodox,India
60,AS Rajpoot,Right_Hand,Right-arm medium,India
61,AS Raut,Right_Hand,Legbreak googly,India
62,AS Yadav,Right_hand,,
63,AT Rayudu,Right_Hand,Right-arm offbreak,India
64,AUK Pathan,Right_Hand,Right-arm medium,India
65,AV Wankhade,Right_Hand,,India
66,Avesh Khan,Right_Hand,Right-arm fast-medium,
67,Azhar Mahmood,Right_Hand,Right-arm fast-medium,Pakistan
68,B Akhil,Right_Hand,Right-arm medium-fast,India
69,B Aparajith,Right_Hand,Right-arm offbreak,India
70,B Chipli,Right_Hand,Right-arm medium,India
71,B Geeves,Right_Hand,Right-arm fast-medium,Australia
72,B Kumar,Right_Hand,Right-arm medium,India
73,B Laughlin,Right_Hand,Right-arm fast-medium,Australia
74,B Lee,Right_Hand,Right-arm fast,Australia
75,B Stanlake,Right_Hand,Right-arm fast,
76,B Sumanth,Right_Hand,Right-arm medium-fast,India
77,BA Bhatt,Left_Hand,Slow left-arm orthodox,India
78,BA Stokes,Left_Hand,Right-arm fast-medium,
