,season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
0,2020,1216492,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1,DL Chahar,Deepak Chahar,4.0,0,32,2,8.0,7,3,0,1,0,False
1,2020,1216492,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1,SM Curran,Sam Curran,4.0,0,28,1,7.0,9,4,0,0,0,False
2,2020,1216492,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1,L Ngidi,Lungi Ngidi,4.0,0,38,3,9.5,8,6,0,2,0,False
3,2020,1216492,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1,PP Chawla,Piyush Chawla,4.0,0,21,1,5.25,11,0,1,1,0,False
4,2020,1216492,MI v CSK,MI,CSK,CSK,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,1,RA Jadeja,Ravindra Jadeja,4.0,0,42,2,10.5,5,2,3,0,0,False
5,2020,1216492,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2,TA Boult,Trent Boult,3.2,0,23,1,6.9,12,5,0,0,0,False
6,2020,1216492,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2,JL Pattinson,James Pattinson,4.0,0,27,1,6.75,10,3,0,1,0,False
7,2020,1216492,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2,JJ Bumrah,Jasprit Bumrah,4.0,0,43,1,10.75,10,4,2,1,1,False
8,2020,1216492,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2,KH Pandya,Krunal Pandya,4.0,0,37,1,9.25,2,1,2,1,0,False
9,2020,1216492,MI v CSK,MI,CSK,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,2,RD Chahar,Rahul Chahar,4.0,0,36,1,9.0,2,3,1,0,0,False
10,2020,1216493,DC v KXIP,DC,KXIP,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,SS Cottrell,Sheldon Cottrell,4.0,0,24,2,6.0,13,4,0,1,0,False
11,2020,1216493,DC v KXIP,DC,KXIP,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,Mohammed Shami,Mohammed Shami,4.0,0,15,3,3.75,15,1,0,1,1,False
12,2020,1216493,DC v KXIP,DC,KXIP,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,CJ Jordan,Chris Jordan,4.0,0,56,0,14.0,8,5,3,3,1,False
13,2020,1216493,DC v KXIP,DC,KXIP,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,K Gowtham,Krishnappa Gowtham,4.0,0,39,0,9.75,5,1,3,0,0,False
14,2020,1216493,DC v KXIP,DC,KXIP,KXIP,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,Ravi Bishnoi,Ravi Bishnoi,4.0,0,22,1,5.5,9,2,0,1,0,False
15,2020,1216493,DC v KXIP,DC,KXIP,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,A Nortje,Anrich Nortje,4.0,0,33,0,8.25,11,6,0,0,0,False
16,2020,1216493,DC v KXIP,DC,KXIP,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,MM Sharma,Mohit Sharma,4.0,0,45,1,11.25,7,1,4,0,1,False
17,2020,1216493,DC v KXIP,DC,KXIP,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,K Rabada,Kagiso Rabada,4.0,0,28,2,7.0,10,3,0,1,0,False
18,2020,1216493,DC v KXIP,DC,KXIP,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,R Ashwin,Ravichandran Ashwin,1.0,0,2,2,2.0,4,0,0,0,0,False
19,2020,1216493,DC v KXIP,DC,KXIP,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,AR Patel,Axar Patel,4.0,0,14,1,3.5,11,0,0,0,0,False
20,2020,1216493,DC v KXIP,DC,KXIP,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,MP Stoinis,Marcus Stoinis,3.0,0,29,2,9.66,6,2,2,0,0,False
21,2020,1216534,SRH v RCB,SRH,RCB,SRH,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,B Kumar,Bhuvneshwar Kumar,4.0,0,25,0,6.25,11,3,0,1,0,False
22,2020,1216534,SRH v RCB,SRH,RCB,SRH,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,Sandeep Sharma,Sandeep Sharma,4.0,0,36,0,9.0,7,2,2,0,0,False
23,2020,1216534,SRH v RCB,SRH,RCB,SRH,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,T Natarajan,T Natarajan,4.0,0,34,1,8.5,6,5,0,0,0,False
24,2020,1216534,SRH v RCB,SRH,RCB,SRH,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,MR Marsh,Mitchell Marsh,0.4,0,6,0,9.0,1,1,0,0,0,False
25,2020,1216534,SRH v RCB,SRH,RCB,SRH,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,V Shankar,Vijay Shankar,1.2,0,14,1,10.5,4,0,1,1,2,False
